i	x	y	z	x+dif	y+dif	z+dif	xdif	ydif	zdif
0	1941.3	0.0	0.0	2004.57918995	92.6198029199	-87.5812950184	63.27918994834084	92.61980291992475	-87.58129501840754
1	1941.12606592	33.8824815145	0.0	1983.38388578	13.5219414584	89.1502020065	42.25781985980885	-20.36054005604744	89.15020200651921
2	1940.60418575	67.7673914454	0.0	1873.25967678	158.574815527	-63.9928683976	-67.34450897476793	90.80742408147091	-63.992868397612845
3	1939.73412567	101.657157926	0.0	2034.21053862	58.3256430551	-36.5582975267	94.47641295359045	-43.33151487067444	-36.55829752671402
4	1938.51549572	135.554208519	0.0	1877.97703153	89.6264766036	-0.204632735351	-60.538464190309284	-45.927731915434556	-0.20463273535118276
5	1936.94774957	169.460969929	0.0	2033.23015064	196.77422696	33.8608811376	96.282401068826	27.3132570305892	33.86088113756989
6	1935.03018399	203.379867704	0.0	1949.88321101	200.843357766	-1.55405118738	14.853027017865571	-2.5365099381318146	-1.5540511873790734
7	1932.76193835	237.31332593	0.0	2007.96715984	185.072151786	-35.000548485	75.20522148943945	-52.241174143874325	-35.000548484988144
8	1930.14199387	271.263766913	0.0	1880.8269237	190.793240519	-12.5035381439	-49.315070170050724	-80.47052639356897	-12.503538143903256
9	1927.16917285	305.233610853	0.0	1951.40929583	251.502080673	-41.1653374815	24.240122979681033	-53.73153017961951	-41.16533748146636
10	1923.84213765	339.225275492	0.0	1888.47291006	291.774123539	-40.9731790613	-35.36922759634771	-47.45115195294816	-40.973179061269185
11	1920.15938967	373.241175758	0.0	1892.20140245	411.678300794	24.6633667445	-27.957987222423284	38.43712503676798	24.663366744541108
12	1916.11926807	407.283723371	0.0	2007.11155724	371.321221833	35.9422103689	90.99228916836847	-35.96250153813456	35.94221036894214
13	1911.71994847	441.355326443	0.0	2007.46148212	469.419760766	-25.2839465604	95.74153364624323	28.064434323240306	-25.283946560359553
14	1906.95944146	475.458389041	0.0	1830.46102915	542.70650845	97.5212854149	-76.49841230501693	67.24811940875114	97.52128541488406
15	1901.83559093	509.595310727	0.0	1886.36506996	521.953537887	-99.9710206319	-15.470520970621692	12.358227159611943	-99.9710206318777
16	1896.3460724	543.768486063	0.0	1845.8135481	625.868420682	-18.0125821165	-50.53252430051267	82.09993461918592	-18.012582116524854
17	1890.48839106	577.980304087	0.0	1964.64349691	480.843486991	17.5652278517	74.15510585496381	-97.13681709633369	17.5652278516568
18	1884.25987973	612.233147747	0.0	1800.36866035	586.302701311	-73.7917780936	-83.89121937919246	-25.930446435831	-73.79177809357495
19	1877.65769675	646.529393297	0.0	1818.1752588	718.006498981	46.0519592983	-59.48243795040362	71.47710568317254	46.05195929828767
20	1870.67882358	680.871409655	0.0	1912.15922406	684.515240349	-8.58320883216	41.48040048178535	3.6438306945058656	-8.58320883216328
21	1863.32006236	715.261557702	0.0	1898.68788521	696.280901839	70.7279666757	35.36782284378114	-18.980655863069245	70.72796667565072
22	1855.57803331	749.702189543	0.0	1849.24187696	705.023252669	93.933698118	-6.3361563518278246	-44.67893687423996	93.9336981179992
23	1847.44917193	784.19564771	0.0	1792.25464104	746.041812102	71.4782232719	-55.194530888044405	-38.15383560863377	71.47822327190681
24	1838.92972605	818.744264306	0.0	1828.1891764	912.081463242	54.5848123221	-10.740549658564618	93.33719893650112	54.58481232210087
25	1830.01575283	853.350360087	0.0	1897.35406308	846.019440042	21.036085884	67.33831025349221	-7.33092004495461	21.03608588399102
26	1820.7031154	888.016243483	0.0	1774.86821504	839.23646916	-19.2951056494	-45.83490035494846	-48.77977432338811	-19.295105649378172
27	1810.98747954	922.744209543	0.0	1838.06986845	917.271350943	-47.7048260692	27.082388910111206	-5.472858600763502	-47.704826069215265
28	1800.86431008	957.53653881	0.0	1866.71528208	964.590434474	20.156007621	65.85097200247162	7.053895664102413	20.156007620968637
29	1790.3288671	992.395496111	0.0	1869.98581254	972.770154519	55.6423650139	79.6569454374137	-19.625341591725046	55.64236501389911
30	1779.37620209	1027.32332927	0.0	1873.04677526	1010.11970886	30.1257960925	93.67057316840857	-17.203620406918958	30.12579609247581
31	1768.0011538	1062.32226771	0.0	1820.54394016	1033.60391267	33.5916690521	52.54278635917126	-28.71835504339832	33.59166905208684
32	1756.19834397	1097.39452102	0.0	1846.78433362	1059.44443891	-1.6381811963	90.58598965541563	-37.95008210822637	-1.6381811962971966
33	1743.96217285	1132.5422773	0.0	1779.76410549	1121.06020028	9.75579522651	35.801932637238	-11.48207701706363	9.755795226505228
34	1731.2868146	1167.76770155	0.0	1640.48323914	1267.66956729	89.3928236243	-90.80357545909759	99.90186574434915	89.39282362432661
35	1718.16621238	1203.0729338	0.0	1788.44277323	1152.89601671	-73.2981932116	70.27656085198589	-50.176917096983445	-73.29819321160042
36	1704.59407332	1238.46008726	0.0	1770.80123117	1235.47545541	-93.8567995637	66.20715784962258	-2.9846318469109576	-93.85679956368773
37	1690.56386333	1273.93124617	0.0	1766.92683612	1316.44616918	19.2999327774	76.36297278800635	42.51492300755197	19.29993277737627
38	1676.06880157	1309.4884637	0.0	1639.53263674	1232.09737597	57.7118825327	-36.53616482595565	-77.39108772829132	57.711882532653334
39	1661.10185483	1345.13375955	0.0	1758.50528749	1329.89723216	-76.7592947869	97.40343265997447	-15.236527393369997	-76.75929478690855
40	1645.65573166	1380.86911748	0.0	1669.32334982	1328.54682843	-46.7268060172	23.667618165518462	-52.3222890536299	-46.726806017226274
41	1629.72287627	1416.69648266	0.0	1563.26975628	1368.42267651	-22.9862556332	-66.45311998460852	-48.27380614608199	-22.986255633183788
42	1613.2954622	1452.61775881	0.0	1667.17358564	1496.37997719	71.6650008128	53.87812344482796	43.76221837916901	71.6650008128104
43	1596.36538579	1488.63480524	0.0	1632.15685867	1517.75498655	-6.79217710828	35.791472878241166	29.12018131129156	-6.792177108276817
44	1578.92425941	1524.74943359	0.0	1504.88573122	1565.36489339	-98.6958078563	-74.0385281921858	40.61545979945191	-98.695807856286
45	1560.96340442	1560.96340442	0.0	1565.20504683	1516.45144907	74.1958785707	4.2416424105908845	-44.51195535543224	74.19587857074583
46	1542.47384394	1597.27842363	0.0	1479.62354222	1624.88081643	-11.6256437727	-62.85030171551191	27.602392799585957	-11.625643772713204
47	1523.44629532	1633.69613851	0.0	1549.91027527	1697.12727826	62.3137338028	26.463979947890024	63.43113975576986	62.31373380281033
48	1503.87116244	1670.2181337	0.0	1595.4578402	1634.56497585	-57.162660649	91.58667775815829	-35.65315785263469	-57.16266064903617
